"Time (UTC)","Sensor output (cm)","Quality parameter","Temperature (°C)","Corrected distance (cm)","Snow height (cm)"
"2019-05-01 00:10:10","128.77 ± 1.00","233.67","-63.6","112.78 ± 1.00","89.02 ± 1.00"
"2019-04-30 12:10:09","129.20 ± 1.00","200.00","-64.7","112.87 ± 1.00","88.93 ± 1.00"
"2019-04-30 00:10:10","128.87 ± 1.00","202.33","-62.8","113.09 ± 1.00","88.71 ± 1.00"
"2019-04-29 12:10:10","126.93 ± 1.00","210.00","-59.7","112.21 ± 1.00","89.59 ± 1.00"
"2019-04-29 00:10:09","127.80 ± 1.00","230.33","-61.2","112.58 ± 1.00","89.22 ± 1.00"
"2019-04-28 12:10:09","126.93 ± 1.00","196.33","-54.6","113.54 ± 1.00","88.26 ± 1.00"
"2019-04-28 00:10:10","126.23 ± 1.00","181.67","-53.3","113.25 ± 1.00","88.55 ± 1.00"
"2019-04-27 00:10:09","125.03 ± 1.00","202.33","-49.9","113.04 ± 1.00","88.76 ± 1.00"
"2019-04-26 12:10:09","126.30 ± 1.00","202.67","-54.0","113.13 ± 1.00","88.67 ± 1.00"
"2019-04-26 00:10:10","126.40 ± 1.00","264.67","-55.7","112.78 ± 1.00","89.02 ± 1.00"
"2019-04-25 12:10:10","128.73 ± 1.00","270.00","-64.1","112.62 ± 1.00","89.18 ± 1.00"
"2019-04-25 00:10:09","127.70 ± 1.00","298.33","-61.8","112.33 ± 1.00","89.47 ± 1.00"
"2019-04-23 00:10:09","126.70 ± 1.00","240.67","-59.7","112.00 ± 1.00","89.80 ± 1.00"
"2019-04-22 12:10:10","126.73 ± 1.00","191.67","-53.8","113.57 ± 1.00","88.23 ± 1.00"
"2019-04-22 00:10:09","126.03 ± 1.00","185.67","-52.9","113.17 ± 1.00","88.63 ± 1.00"
"2019-04-21 12:10:09","126.37 ± 1.00","206.33","-53.8","113.24 ± 1.00","88.56 ± 1.00"
"2019-04-21 00:10:10","126.60 ± 1.00","196.67","-55.1","113.11 ± 1.00","88.69 ± 1.00"
"2019-04-20 12:10:09","126.37 ± 1.00","191.00","-54.1","113.16 ± 1.00","88.64 ± 1.00"
"2019-04-20 00:10:09","126.73 ± 1.00","218.67","-56.2","112.95 ± 1.00","88.85 ± 1.00"
"2019-04-19 12:10:10","127.13 ± 1.00","190.67","-56.9","113.12 ± 1.00","88.68 ± 1.00"
"2019-04-19 00:10:09","124.73 ± 1.00","195.00","-47.4","113.40 ± 1.00","88.40 ± 1.00"
"2019-04-18 12:10:09","124.33 ± 1.00","182.67","-47.6","112.98 ± 1.00","88.82 ± 1.00"
"2019-04-18 00:10:10","124.37 ± 1.00","185.00","-46.0","113.41 ± 1.00","88.39 ± 1.00"
"2019-04-17 12:10:09","123.70 ± 1.00","182.33","-44.0","113.30 ± 1.00","88.50 ± 1.00"
"2019-04-17 00:10:09","124.33 ± 1.00","185.33","-45.9","113.41 ± 1.00","88.39 ± 1.00"
"2019-04-16 12:10:09","124.43 ± 1.00","183.33","-46.3","113.40 ± 1.00","88.40 ± 1.00"
"2019-04-16 00:10:10","124.57 ± 1.00","185.67","-47.1","113.32 ± 1.00","88.48 ± 1.00"
"2019-04-15 12:10:10","127.20 ± 1.00","188.00","-55.3","113.60 ± 1.00","88.20 ± 1.00"
"2019-04-15 00:10:09","123.40 ± 1.00","173.00","-53.7","110.61 ± 1.00","91.19 ± 1.00"
"2019-04-14 12:10:09","122.33 ± 1.00","215.33","-52.9","109.85 ± 1.00","91.95 ± 1.00"
"2019-04-14 00:10:09","128.43 ± 1.00","192.33","-61.4","113.08 ± 1.00","88.72 ± 1.00"
"2019-04-13 12:10:10","127.20 ± 1.00","215.67","-57.0","113.15 ± 1.00","88.65 ± 1.00"
"2019-04-13 00:10:10","127.93 ± 1.00","206.33","-60.6","112.85 ± 1.00","88.95 ± 1.00"
"2019-04-12 12:10:10","130.03 ± 1.00","219.33","-66.6","113.08 ± 1.00","88.72 ± 1.00"
"2019-04-12 00:10:09","130.60 ± 1.00","205.67","-67.2","113.40 ± 1.00","88.40 ± 1.00"
"2019-04-11 12:10:09","128.77 ± 1.00","195.67","-62.9","112.97 ± 1.00","88.83 ± 1.00"
"2019-04-10 12:10:09","129.87 ± 1.00","219.67","-66.1","113.07 ± 1.00","88.73 ± 1.00"
"2019-04-10 00:10:10","127.27 ± 1.00","289.67","-59.7","112.50 ± 1.00","89.30 ± 1.00"
"2019-04-09 12:10:09","127.17 ± 1.00","300.00","-60.3","112.26 ± 1.00","89.54 ± 1.00"
"2019-04-09 00:10:10","128.43 ± 1.00","219.33","-63.4","112.55 ± 1.00","89.25 ± 1.00"
"2019-04-08 12:10:09","129.53 ± 1.00","219.33","-63.5","113.48 ± 1.00","88.32 ± 1.00"
"2019-04-08 00:10:09","129.07 ± 1.00","218.33","-62.0","113.48 ± 1.00","88.32 ± 1.00"
"2019-04-07 12:10:10","128.20 ± 1.00","256.33","-60.1","113.22 ± 1.00","88.58 ± 1.00"
"2019-04-07 00:10:10","126.77 ± 1.00","199.00","-57.2","112.71 ± 1.00","89.09 ± 1.00"
"2019-04-06 12:10:09","123.00 ± 1.00","200.67","-49.2","111.37 ± 1.00","90.43 ± 1.00"
"2019-04-06 00:10:09","125.20 ± 1.00","221.00","-51.3","112.83 ± 1.00","88.97 ± 1.00"
"2019-04-05 12:10:09","129.17 ± 1.00","181.00","-63.0","113.30 ± 1.00","88.50 ± 1.00"
"2019-04-05 00:10:09","129.60 ± 1.00","205.00","-64.7","113.22 ± 1.00","88.58 ± 1.00"
"2019-04-04 12:10:09","128.93 ± 1.00","203.00","-63.7","112.90 ± 1.00","88.90 ± 1.00"
"2019-04-04 00:10:10","126.10 ± 1.00","208.33","-53.7","113.03 ± 1.00","88.77 ± 1.00"
"2019-04-03 12:10:09","126.03 ± 1.00","188.00","-52.4","113.30 ± 1.00","88.50 ± 1.00"
"2019-04-03 00:10:09","126.50 ± 1.00","190.00","-54.1","113.28 ± 1.00","88.52 ± 1.00"
"2019-04-02 12:10:09","127.47 ± 1.00","195.67","-57.1","113.36 ± 1.00","88.44 ± 1.00"
"2019-04-02 00:10:09","128.40 ± 1.00","192.67","-61.4","113.05 ± 1.00","88.75 ± 1.00"
"2019-04-01 12:10:09","127.27 ± 1.00","195.00","-59.8","112.48 ± 1.00","89.32 ± 1.00"
"2019-04-01 00:10:09","126.50 ± 1.00","259.33","-55.1","113.02 ± 1.00","88.78 ± 1.00"
"2019-03-31 12:10:09","126.33 ± 1.00","209.33","-53.8","113.21 ± 1.00","88.59 ± 1.00"
"2019-03-31 00:10:09","127.20 ± 1.00","192.67","-59.7","112.44 ± 1.00","89.36 ± 1.00"
"2019-03-30 12:10:09","127.30 ± 1.00","194.67","-58.7","112.80 ± 1.00","89.00 ± 1.00"
"2019-03-30 00:10:09","127.20 ± 1.00","195.00","-58.5","112.76 ± 1.00","89.04 ± 1.00"
"2019-03-29 12:10:09","126.87 ± 1.00","195.33","-59.7","112.15 ± 1.00","89.65 ± 1.00"
"2019-03-29 00:10:09","126.30 ± 1.00","196.33","-53.7","113.21 ± 1.00","88.59 ± 1.00"
"2019-03-28 12:10:09","126.90 ± 1.00","194.67","-55.8","113.20 ± 1.00","88.60 ± 1.00"
"2019-03-28 00:10:10","127.83 ± 1.00","201.00","-59.3","113.11 ± 1.00","88.69 ± 1.00"
"2019-03-27 12:10:09","127.90 ± 1.00","196.00","-61.1","112.69 ± 1.00","89.11 ± 1.00"
"2019-03-27 00:10:10","127.43 ± 1.00","196.33","-59.0","112.83 ± 1.00","88.97 ± 1.00"
"2019-03-26 12:10:09","124.67 ± 1.00","170.00","-49.5","112.81 ± 1.00","88.99 ± 1.00"
"2019-03-26 00:10:09","125.40 ± 1.00","194.33","-51.8","112.89 ± 1.00","88.91 ± 1.00"
"2019-03-25 12:10:10","126.70 ± 1.00","188.33","-57.1","112.68 ± 1.00","89.12 ± 1.00"
"2019-03-25 00:10:09","126.80 ± 1.00","198.00","-59.5","112.14 ± 1.00","89.66 ± 1.00"
"2019-03-24 12:10:09","127.03 ± 1.00","197.33","-55.6","113.37 ± 1.00","88.43 ± 1.00"
"2019-03-24 00:10:10","128.33 ± 1.00","199.33","-62.7","112.65 ± 1.00","89.15 ± 1.00"
"2019-03-23 12:10:09","128.13 ± 1.00","200.00","-60.2","113.14 ± 1.00","88.66 ± 1.00"
"2019-03-23 00:10:09","125.60 ± 1.00","195.00","-52.3","112.94 ± 1.00","88.86 ± 1.00"
"2019-03-22 12:10:10","126.60 ± 1.00","196.67","-55.5","113.01 ± 1.00","88.79 ± 1.00"
"2019-03-22 00:10:10","126.13 ± 1.00","195.67","-54.5","112.85 ± 1.00","88.95 ± 1.00"
"2019-03-21 12:10:09","126.43 ± 1.00","196.33","-55.2","112.94 ± 1.00","88.86 ± 1.00"
"2019-03-21 00:10:09","125.93 ± 1.00","189.00","-51.9","113.34 ± 1.00","88.46 ± 1.00"
"2019-03-20 12:10:10","124.70 ± 1.00","185.33","-48.9","112.99 ± 1.00","88.81 ± 1.00"
"2019-03-20 00:10:09","125.00 ± 1.00","170.33","-49.5","113.11 ± 1.00","88.69 ± 1.00"
"2019-03-19 12:10:09","126.07 ± 1.00","185.67","-53.5","113.05 ± 1.00","88.75 ± 1.00"
"2019-03-18 12:10:09","127.60 ± 1.00","186.67","-57.8","113.30 ± 1.00","88.50 ± 1.00"
"2019-03-18 00:10:09","127.43 ± 1.00","186.00","-57.6","113.20 ± 1.00","88.60 ± 1.00"
"2019-03-17 12:10:10","127.90 ± 1.00","187.33","-59.3","113.17 ± 1.00","88.63 ± 1.00"
"2019-03-17 00:10:09","127.67 ± 1.00","199.00","-58.4","113.20 ± 1.00","88.60 ± 1.00"
"2019-03-16 12:10:09","127.17 ± 1.00","186.33","-57.3","113.04 ± 1.00","88.76 ± 1.00"
"2019-03-16 00:10:10","128.80 ± 1.00","186.00","-62.7","113.05 ± 1.00","88.75 ± 1.00"
"2019-03-15 12:10:10","128.53 ± 1.00","185.67","-61.4","113.17 ± 1.00","88.63 ± 1.00"
"2019-03-15 00:10:09","128.00 ± 1.00","185.33","-59.7","113.15 ± 1.00","88.65 ± 1.00"
"2019-03-14 12:10:10","127.10 ± 1.00","185.67","-56.8","113.12 ± 1.00","88.68 ± 1.00"
"2019-03-14 00:10:10","125.63 ± 1.00","186.00","-52.6","112.89 ± 1.00","88.91 ± 1.00"
"2019-03-13 12:10:09","124.50 ± 1.00","185.67","-49.1","112.76 ± 1.00","89.04 ± 1.00"
"2019-03-13 00:10:09","123.70 ± 1.00","185.67","-44.1","113.28 ± 1.00","88.52 ± 1.00"
"2019-03-12 12:10:10","123.23 ± 1.00","184.33","-42.8","113.17 ± 1.00","88.63 ± 1.00"
"2019-03-12 00:10:09","122.63 ± 1.00","180.67","-40.9","113.08 ± 1.00","88.72 ± 1.00"
"2019-03-11 12:10:09","121.97 ± 1.00","178.00","-37.9","113.19 ± 1.00","88.61 ± 1.00"
"2019-03-11 00:10:09","122.63 ± 1.00","181.00","-40.8","113.10 ± 1.00","88.70 ± 1.00"
"2019-03-10 12:10:10","122.00 ± 1.00","174.67","-37.9","113.22 ± 1.00","88.58 ± 1.00"
"2019-03-10 00:10:10","121.80 ± 1.00","181.67","-37.0","113.25 ± 1.00","88.55 ± 1.00"
"2019-03-09 12:10:09","121.67 ± 1.00","184.67","-36.8","113.17 ± 1.00","88.63 ± 1.00"
"2019-03-09 00:10:09","121.30 ± 1.00","184.67","-35.6","113.12 ± 1.00","88.68 ± 1.00"
"2019-03-08 12:10:10","121.80 ± 1.00","180.33","-37.1","113.23 ± 1.00","88.57 ± 1.00"
"2019-03-08 00:10:10","123.50 ± 1.00","197.00","-43.6","113.22 ± 1.00","88.58 ± 1.00"
"2019-03-07 12:10:09","123.90 ± 1.00","174.00","-45.2","113.19 ± 1.00","88.61 ± 1.00"
"2019-03-07 00:10:09","124.60 ± 1.00","185.67","-47.4","113.27 ± 1.00","88.53 ± 1.00"
"2019-03-06 12:10:10","124.23 ± 1.00","183.00","-46.1","113.27 ± 1.00","88.53 ± 1.00"
"2019-03-06 00:10:09","123.67 ± 1.00","193.33","-43.9","113.29 ± 1.00","88.51 ± 1.00"
"2019-03-05 12:10:09","123.63 ± 1.00","185.00","-43.8","113.29 ± 1.00","88.51 ± 1.00"
"2019-03-05 00:10:10","123.73 ± 1.00","193.67","-45.9","112.86 ± 1.00","88.94 ± 1.00"
"2019-03-04 12:10:09","124.30 ± 1.00","193.00","-47.4","113.00 ± 1.00","88.80 ± 1.00"
"2019-03-04 00:10:10","124.30 ± 1.00","193.33","-47.7","112.93 ± 1.00","88.87 ± 1.00"
"2019-03-03 12:10:09","123.97 ± 1.00","177.00","-45.6","113.15 ± 1.00","88.65 ± 1.00"
"2019-03-03 00:10:09","124.87 ± 1.00","169.33","-48.8","113.16 ± 1.00","88.64 ± 1.00"
"2019-03-02 12:10:10","124.60 ± 1.00","173.00","-47.6","113.22 ± 1.00","88.58 ± 1.00"
"2019-03-02 00:10:09","124.40 ± 1.00","169.33","-47.3","113.12 ± 1.00","88.68 ± 1.00"
"2019-03-01 12:10:09","123.90 ± 1.00","169.67","-45.3","113.16 ± 1.00","88.64 ± 1.00"
"2019-03-01 00:10:09","123.67 ± 1.00","169.33","-44.2","113.22 ± 1.00","88.58 ± 1.00"
"2019-02-28 12:10:09","123.97 ± 1.00","171.67","-46.7","112.87 ± 1.00","88.93 ± 1.00"
"2019-02-28 00:10:09","122.17 ± 1.00","168.33","-39.3","113.04 ± 1.00","88.76 ± 1.00"
"2019-02-27 12:10:09","122.00 ± 1.00","188.67","-37.8","113.24 ± 1.00","88.56 ± 1.00"
"2019-02-27 00:10:09","122.00 ± 1.00","197.00","-38.4","113.10 ± 1.00","88.70 ± 1.00"
"2019-02-26 12:10:10","122.80 ± 1.00","204.33","-40.7","113.28 ± 1.00","88.52 ± 1.00"
"2019-02-26 00:10:09","122.20 ± 1.00","190.67","-40.5","112.78 ± 1.00","89.02 ± 1.00"
"2019-02-25 12:10:09","123.13 ± 1.00","197.67","-43.1","113.00 ± 1.00","88.80 ± 1.00"
"2019-02-25 00:10:10","123.47 ± 1.00","201.00","-43.2","113.28 ± 1.00","88.52 ± 1.00"
"2019-02-24 12:10:10","124.50 ± 1.00","194.00","-47.5","113.16 ± 1.00","88.64 ± 1.00"
"2019-02-24 00:10:09","124.00 ± 1.00","194.33","-45.9","113.10 ± 1.00","88.70 ± 1.00"
"2019-02-23 12:10:09","123.37 ± 1.00","194.33","-43.6","113.09 ± 1.00","88.71 ± 1.00"
"2019-02-23 00:10:10","123.50 ± 1.00","194.00","-45.0","112.87 ± 1.00","88.93 ± 1.00"
"2019-02-22 12:10:09","122.03 ± 1.00","196.67","-39.2","112.94 ± 1.00","88.86 ± 1.00"
"2019-02-22 00:10:09","121.20 ± 1.00","196.33","-38.3","112.38 ± 1.00","89.42 ± 1.00"
"2019-02-21 12:10:09","123.50 ± 1.00","187.67","-43.0","113.36 ± 1.00","88.44 ± 1.00"
"2019-02-21 00:10:10","123.00 ± 1.00","178.67","-39.1","113.86 ± 1.00","87.94 ± 1.00"
"2019-02-20 12:10:10","121.47 ± 1.00","168.00","-34.6","113.51 ± 1.00","88.29 ± 1.00"
"2019-02-20 00:10:09","121.00 ± 1.00","185.67","-35.7","112.82 ± 1.00","88.98 ± 1.00"
"2019-02-19 12:10:09","123.00 ± 1.00","168.33","-39.8","113.69 ± 1.00","88.11 ± 1.00"
"2019-02-19 00:10:10","122.37 ± 1.00","168.33","-37.7","113.61 ± 1.00","88.19 ± 1.00"
"2019-02-18 12:10:10","122.03 ± 1.00","169.33","-35.7","113.78 ± 1.00","88.02 ± 1.00"
"2019-02-18 00:10:09","121.37 ± 1.00","171.33","-33.9","113.59 ± 1.00","88.21 ± 1.00"
"2019-02-17 12:10:09","121.20 ± 1.00","168.33","-32.6","113.74 ± 1.00","88.06 ± 1.00"
"2019-02-17 00:10:10","119.67 ± 1.00","169.00","-27.1","113.58 ± 1.00","88.22 ± 1.00"
"2019-02-16 12:10:10","121.40 ± 1.00","168.33","-34.1","113.57 ± 1.00","88.23 ± 1.00"
"2019-02-16 00:10:09","122.00 ± 1.00","173.33","-36.3","113.60 ± 1.00","88.20 ± 1.00"
"2019-02-15 12:10:09","121.93 ± 1.00","174.00","-37.5","113.25 ± 1.00","88.55 ± 1.00"
"2019-02-15 00:10:10","122.90 ± 1.00","185.00","-39.9","113.57 ± 1.00","88.23 ± 1.00"
"2019-02-14 12:10:09","122.63 ± 1.00","173.00","-38.8","113.59 ± 1.00","88.21 ± 1.00"
"2019-02-14 00:10:09","121.47 ± 1.00","188.67","-34.7","113.49 ± 1.00","88.31 ± 1.00"
"2019-02-13 12:10:10","120.90 ± 1.00","198.33","-34.5","113.01 ± 1.00","88.79 ± 1.00"
"2019-02-13 00:10:09","118.30 ± 1.00","168.00","-26.7","112.37 ± 1.00","89.43 ± 1.00"
"2019-02-12 12:10:09","120.97 ± 1.00","187.67","-31.7","113.73 ± 1.00","88.07 ± 1.00"
"2019-02-12 00:10:09","120.70 ± 1.00","188.67","-31.6","113.50 ± 1.00","88.30 ± 1.00"
"2019-02-11 12:10:10","120.90 ± 1.00","189.67","-31.4","113.74 ± 1.00","88.06 ± 1.00"
"2019-02-11 00:10:10","121.30 ± 1.00","189.33","-33.5","113.62 ± 1.00","88.18 ± 1.00"
"2019-02-10 12:10:09","122.17 ± 1.00","186.67","-36.1","113.81 ± 1.00","87.99 ± 1.00"
"2019-02-10 00:10:09","122.80 ± 1.00","176.67","-38.3","113.87 ± 1.00","87.93 ± 1.00"
"2019-02-09 12:10:09","122.40 ± 1.00","192.00","-37.3","113.74 ± 1.00","88.06 ± 1.00"
"2019-02-09 00:10:10","121.90 ± 1.00","189.33","-37.2","113.30 ± 1.00","88.50 ± 1.00"
"2019-02-08 12:10:10","122.17 ± 1.00","192.00","-37.7","113.42 ± 1.00","88.38 ± 1.00"
"2019-02-08 00:10:09","122.07 ± 1.00","191.33","-37.8","113.31 ± 1.00","88.49 ± 1.00"
"2019-02-07 12:10:09","122.00 ± 1.00","192.33","-36.9","113.46 ± 1.00","88.34 ± 1.00"
"2019-02-07 00:10:09","121.63 ± 1.00","189.33","-35.9","113.36 ± 1.00","88.44 ± 1.00"
"2019-02-06 12:10:10","120.10 ± 1.00","187.33","-30.7","113.15 ± 1.00","88.65 ± 1.00"
"2019-02-06 00:10:09","120.00 ± 1.00","168.67","-28.3","113.61 ± 1.00","88.19 ± 1.00"
"2019-02-05 12:10:10","119.20 ± 1.00","188.00","-26.6","113.25 ± 1.00","88.55 ± 1.00"
"2019-02-05 00:10:10","119.60 ± 1.00","188.33","-28.6","113.17 ± 1.00","88.63 ± 1.00"
"2019-02-04 12:10:09","119.57 ± 1.00","187.33","-28.4","113.18 ± 1.00","88.62 ± 1.00"
"2019-02-04 00:10:09","119.47 ± 1.00","188.33","-28.0","113.18 ± 1.00","88.62 ± 1.00"
"2019-02-03 12:10:10","119.80 ± 1.00","188.00","-29.5","113.15 ± 1.00","88.65 ± 1.00"
"2019-02-03 00:10:09","121.20 ± 1.00","188.00","-34.5","113.29 ± 1.00","88.51 ± 1.00"
"2019-02-02 12:10:09","120.30 ± 1.00","190.33","-31.2","113.22 ± 1.00","88.58 ± 1.00"
"2019-02-02 00:10:10","120.10 ± 1.00","168.67","-29.2","113.50 ± 1.00","88.30 ± 1.00"
"2019-02-01 12:10:09","120.30 ± 1.00","189.33","-31.4","113.17 ± 1.00","88.63 ± 1.00"
"2019-02-01 00:10:10","121.27 ± 1.00","167.67","-32.6","113.80 ± 1.00","88.00 ± 1.00"
"2019-01-31 12:10:10","122.00 ± 1.00","168.00","-35.0","113.92 ± 1.00","87.88 ± 1.00"
"2019-01-31 00:10:09","120.27 ± 1.00","175.67","-29.3","113.63 ± 1.00","88.17 ± 1.00"
"2019-01-30 12:10:09","121.00 ± 1.00","189.00","-32.2","113.64 ± 1.00","88.16 ± 1.00"
"2019-01-30 00:10:10","120.90 ± 1.00","189.00","-32.5","113.48 ± 1.00","88.32 ± 1.00"
"2019-01-29 12:10:09","121.10 ± 1.00","189.67","-33.4","113.45 ± 1.00","88.35 ± 1.00"
"2019-01-29 00:10:09","121.10 ± 1.00","180.33","-33.0","113.55 ± 1.00","88.25 ± 1.00"
"2019-01-28 12:10:10","121.00 ± 1.00","188.33","-32.4","113.60 ± 1.00","88.20 ± 1.00"
"2019-01-28 00:10:09","121.20 ± 1.00","188.33","-33.8","113.45 ± 1.00","88.35 ± 1.00"
"2019-01-27 12:10:09","121.17 ± 1.00","188.33","-32.9","113.64 ± 1.00","88.16 ± 1.00"
"2019-01-27 00:10:10","121.00 ± 1.00","187.33","-32.8","113.50 ± 1.00","88.30 ± 1.00"
"2019-01-26 12:10:10","120.90 ± 1.00","189.00","-32.2","113.55 ± 1.00","88.25 ± 1.00"
"2019-01-26 00:10:09","120.50 ± 1.00","189.00","-30.8","113.50 ± 1.00","88.30 ± 1.00"
"2019-01-25 12:10:09","119.33 ± 1.00","189.00","-26.5","113.40 ± 1.00","88.40 ± 1.00"
"2019-01-25 00:10:10","120.50 ± 1.00","189.33","-31.3","113.39 ± 1.00","88.41 ± 1.00"
"2019-01-24 12:10:09","120.30 ± 1.00","187.33","-30.5","113.38 ± 1.00","88.42 ± 1.00"
"2019-01-24 00:10:09","113.13 ± 1.00","260.33","-29.7","106.81 ± 1.00","94.99 ± 1.00"
"2019-01-23 12:10:09","118.30 ± 1.00","196.33","-24.3","112.92 ± 1.00","88.88 ± 1.00"
"2019-01-23 00:10:10","116.50 ± 1.00","187.67","-22.8","111.53 ± 1.00","90.27 ± 1.00"
"2019-01-22 12:10:09","116.20 ± 1.00","193.67","-20.9","111.67 ± 1.00","90.13 ± 1.00"
"2019-01-22 00:10:09","116.30 ± 1.00","191.00","-19.6","112.05 ± 1.00","89.75 ± 1.00"
"2019-01-21 12:10:10","116.00 ± 1.00","168.33","-17.7","112.18 ± 1.00","89.62 ± 1.00"
"2019-01-21 00:10:10","116.77 ± 1.00","192.67","-20.4","112.32 ± 1.00","89.48 ± 1.00"
"2019-01-20 12:10:09","116.93 ± 1.00","180.00","-22.5","112.01 ± 1.00","89.79 ± 1.00"
"2019-01-20 00:10:10","117.70 ± 1.00","168.33","-26.6","111.82 ± 1.00","89.98 ± 1.00"
"2019-01-19 12:10:09","117.70 ± 1.00","168.33","-26.3","111.89 ± 1.00","89.91 ± 1.00"
"2019-01-19 00:10:09","118.77 ± 1.00","168.67","-30.0","112.05 ± 1.00","89.75 ± 1.00"
"2019-01-18 12:10:09","118.50 ± 1.00","187.33","-27.8","112.31 ± 1.00","89.49 ± 1.00"
"2019-01-18 00:10:10","119.20 ± 1.00","188.00","-28.3","112.86 ± 1.00","88.94 ± 1.00"
"2019-01-17 12:10:09","118.83 ± 1.00","187.00","-27.7","112.65 ± 1.00","89.15 ± 1.00"
"2019-01-17 00:10:10","118.40 ± 1.00","189.00","-26.1","112.60 ± 1.00","89.20 ± 1.00"
"2019-01-16 12:10:10","118.20 ± 1.00","185.33","-24.1","112.87 ± 1.00","88.93 ± 1.00"
"2019-01-16 00:10:09","118.00 ± 1.00","187.67","-24.6","112.56 ± 1.00","89.24 ± 1.00"
"2019-01-15 12:10:09","118.20 ± 1.00","188.00","-25.0","112.66 ± 1.00","89.14 ± 1.00"
"2019-01-15 00:10:10","117.40 ± 1.00","189.67","-22.1","112.55 ± 1.00","89.25 ± 1.00"
"2019-01-14 12:10:10","118.07 ± 1.00","170.67","-23.1","112.96 ± 1.00","88.84 ± 1.00"
"2019-01-14 00:10:09","118.30 ± 1.00","189.67","-23.5","113.10 ± 1.00","88.70 ± 1.00"
"2019-01-13 12:10:09","118.93 ± 1.00","187.00","-25.7","113.20 ± 1.00","88.60 ± 1.00"
"2019-01-13 00:10:10","118.80 ± 1.00","187.33","-25.7","113.07 ± 1.00","88.73 ± 1.00"
"2019-01-12 12:10:09","118.90 ± 1.00","167.33","-25.8","113.15 ± 1.00","88.65 ± 1.00"
"2019-01-12 00:10:09","117.53 ± 1.00","187.67","-22.7","112.54 ± 1.00","89.26 ± 1.00"
"2019-01-11 12:10:10","118.03 ± 1.00","237.00","-26.2","112.23 ± 1.00","89.57 ± 1.00"
"2019-01-11 00:10:09","119.30 ± 1.00","198.33","-28.9","112.81 ± 1.00","88.99 ± 1.00"
"2019-01-10 12:10:09","119.10 ± 1.00","226.33","-29.0","112.60 ± 1.00","89.20 ± 1.00"
"2019-01-10 00:10:10","117.90 ± 1.00","216.33","-24.0","112.60 ± 1.00","89.20 ± 1.00"
"2019-01-09 12:10:09","118.60 ± 1.00","167.00","-27.0","112.59 ± 1.00","89.21 ± 1.00"
"2019-01-09 00:10:09","119.20 ± 1.00","167.00","-29.2","112.65 ± 1.00","89.15 ± 1.00"
"2019-01-08 12:10:09","119.10 ± 1.00","173.00","-28.1","112.81 ± 1.00","88.99 ± 1.00"
"2019-01-08 00:10:10","118.83 ± 1.00","171.67","-27.4","112.72 ± 1.00","89.08 ± 1.00"
"2019-01-07 12:10:09","119.00 ± 1.00","169.33","-27.3","112.90 ± 1.00","88.90 ± 1.00"
"2019-01-07 00:10:09","118.90 ± 1.00","187.00","-26.9","112.89 ± 1.00","88.91 ± 1.00"
"2019-01-06 12:10:10","119.40 ± 1.00","187.67","-27.9","113.14 ± 1.00","88.66 ± 1.00"
"2019-01-06 00:10:09","118.70 ± 1.00","188.00","-25.2","113.09 ± 1.00","88.71 ± 1.00"
"2019-01-05 12:10:09","118.90 ± 1.00","186.00","-27.1","112.85 ± 1.00","88.95 ± 1.00"
"2019-01-05 00:10:10","119.20 ± 1.00","186.00","-28.3","112.86 ± 1.00","88.94 ± 1.00"
"2019-01-04 12:10:09","119.70 ± 1.00","186.33","-29.9","112.96 ± 1.00","88.84 ± 1.00"
"2019-01-04 00:10:09","119.53 ± 1.00","183.00","-29.5","112.89 ± 1.00","88.91 ± 1.00"
"2019-01-03 12:10:09","119.00 ± 1.00","187.67","-26.6","113.06 ± 1.00","88.74 ± 1.00"
"2019-01-03 00:10:09","118.80 ± 1.00","189.33","-26.0","113.00 ± 1.00","88.80 ± 1.00"
"2019-01-02 12:10:09","119.13 ± 1.00","190.00","-26.2","113.28 ± 1.00","88.52 ± 1.00"
"2019-01-02 00:10:09","118.97 ± 1.00","189.00","-26.9","112.96 ± 1.00","88.84 ± 1.00"
"2019-01-01 12:10:10","119.10 ± 1.00","189.00","-26.8","113.11 ± 1.00","88.69 ± 1.00"
"2019-01-01 00:10:09","119.63 ± 1.00","190.00","-29.2","113.06 ± 1.00","88.74 ± 1.00"
"2018-12-31 12:10:09","119.50 ± 1.00","189.33","-28.4","113.12 ± 1.00","88.68 ± 1.00"
"2018-12-31 00:10:10","117.70 ± 1.00","189.00","-22.2","112.82 ± 1.00","88.98 ± 1.00"
"2018-12-30 12:10:10","118.00 ± 1.00","189.33","-22.4","113.06 ± 1.00","88.74 ± 1.00"
"2018-12-30 00:10:09","118.30 ± 1.00","191.67","-24.0","112.98 ± 1.00","88.82 ± 1.00"
"2018-12-29 12:10:10","118.13 ± 1.00","191.00","-23.0","113.05 ± 1.00","88.75 ± 1.00"
"2018-12-29 00:10:09","118.33 ± 1.00","190.67","-24.5","112.90 ± 1.00","88.90 ± 1.00"
"2018-12-28 12:10:10","118.40 ± 1.00","190.00","n/a","n/a","n/a"
"2018-12-28 00:10:09","118.17 ± 1.00","190.33","n/a","n/a","n/a"
"2018-12-27 12:10:09","118.10 ± 1.00","191.00","n/a","n/a","n/a"
"2018-12-27 00:10:10","118.40 ± 1.00","190.00","n/a","n/a","n/a"
