,,,,,,,,,,Snow Depth  Measurements,,,,,,,,,,,,,,,,,,,,,,,,,
station & tank,Station,Tank,DeployYear,Tank liner,DeployOrder,X,Y,Z,,01-Jan-08,01-Jan-09,01-Jan-10,01-Feb-10,01-Dec-10,01-Feb-11,16-Nov-11,19-Feb-12,21-Oct-12,9-Jan-13,21-Feb-13,25-Oct-13,11-Dec-13,8-Mar-14,3-Nov-14,27-Feb-15,28-Oct-15,28-Dec-15,1-Apr-16,10-Oct-16,22-Dec-16,8-Mar-17,13-Nov-17,9-Mar-18,4-Nov-18,6-Mar-19
38A,38,A,2006,Zirco,5,316.28,-3.95,1948.23,,0.1,0.89,-,1.57,1.549,1.6286,1.766,1.766,1.886,1.836,1.836,1.836,1.856,1.846,2.216,2.185,2.286,2.306,2.416,2.446,2.516,2.506,2.5856,2.591,2.743,2.985
38B,38,B,2006,Zirco,5,311.31,-12.58,1947.94,,0.1,0.8,-,1.716,1.71,1.6476,1.874,1.894,2.024,1.994,1.964,1.964,1.974,1.974,2.214,2.195,2.214,2.214,2.204,2.404,2.404,2.414,2.5636,2.551,2.741,2.957
39A,39,A,2005,Tyvek,4,434.73,4.09,1949.28,,1.4,1.31,1.023,1.015,1.626,1.578,1.689,1.689,1.749,1.849,1.789,2.079,2.069,2.089,2.449,2.488,2.649,2.649,2.629,2.789,2.789,2.799,3.059,3.022,3.187,3.415
39B,39,B,2005,Tyvek,4,429.82,-4.72,1949.28,,0.85,-,0.843,0.903,1.544,1.468,1.769,1.899,1.889,1.809,1.859,2.119,2.139,2.139,2.489,2.47,2.619,2.669,2.649,2.819,2.909,2.909,3.069,3.092,3.537,3.791
40A,40,A,2006,Zirco,6,530.46,20.72,1949.2,,0.35,0.66,0.883,0.919,1.109,1.109,1.399,1.389,1.479,1.519,1.539,1.709,1.749,1.759,1.879,1.999,2.139,2.129,2.119,2.269,2.289,2.389,2.629,2.612,2.727,2.828
40B,40,B,2006,Zirco,6,521.88,25.34,1949.18,,0.6,0.81,0.896,0.924,1.166,1.156,1.274,1.304,1.504,1.524,1.504,1.754,1.754,1.774,1.834,1.907,2.064,2.084,2.074,2.324,2.324,2.314,2.504,2.524,2.803,2.828
41A,41,A,2010,Zirco,70,-506.53,-0.72,1944.78,,-,-,-,-,0.449,0.421,0.676,0.756,0.956,0.926,0.926,1.116,1.136,1.126,1.336,1.456,1.576,1.586,1.576,1.676,1.706,1.716,1.966,1.824,2.028,2.078
41B,41,B,2010,Zirco,70,-501.97,-9.62,1944.95,,-,-,-,-,0.414,0.431,0.475,0.545,0.875,0.875,0.865,1.105,1.075,1.115,1.265,1.28,1.435,1.475,1.505,1.655,1.675,1.685,1.785,1.839,2.067,2.067
42A,42,A,2010,Zirco,72,-383.28,18.44,1945.37,,-,-,-,-,0.218,0.176,0.304,0.344,0.594,0.444,0.564,0.724,0.764,0.764,1.064,1.189,1.304,1.294,1.254,1.434,1.434,1.454,1.604,1.646,1.849,1.849
42B,42,B,2010,Zirco,72,-378.85,9.84,1945.3,,-,-,-,-,0.286,0.354,0.746,0.431,0.661,0.611,0.631,1.041,1.031,1.021,1.161,1.21,1.301,1.331,1.401,1.521,1.571,1.571,1.741,1.718,1.908,1.921
43A,43,A,2010,Zirco,73,-260.01,38.74,1945.16,,-,-,-,-,0.514,0.441,0.477,0.587,0.737,0.747,0.737,1.017,1.087,1.097,1.217,1.256,1.427,1.617,1.557,1.587,1.597,1.607,1.887,1.929,2.081,2.145
43B,43,B,2010,Zirco,73,-255.52,29.25,1945.17,,-,-,-,-,0.408,0.378,0.463,0.573,0.863,0.893,0.923,1.173,1.143,1.143,1.273,1.3,1.423,1.503,1.473,1.683,1.733,1.723,1.823,1.834,1.986,2.101
44A,44,A,2008,Zirco,38,-131.2,38.16,1945.5,,-,0.15,0.385,-,0.713,0.652,0.937,0.927,1.197,1.177,1.167,1.357,1.327,1.357,1.737,1.713,1.867,1.977,1.937,2.157,2.297,2.297,2.277,2.288,2.529,2.529
44B,44,B,2008,Zirco,38,-134.7,29.33,1945.61,,-,0.06,0.174,-,0.708,0.602,0.747,0.687,1.057,1.047,1.047,1.397,1.367,1.427,1.587,1.577,1.947,1.917,1.887,1.927,1.967,1.967,2.037,2.059,2.326,2.415
45A,45,A,2008,Zirco,30,-43.32,40.23,1945.93,,-,0.44,0.711,0.731,1.232,1.166,1.286,1.306,1.466,1.496,1.406,1.586,1.576,1.696,2.056,2.07,2.226,2.306,2.276,2.366,2.526,2.576,2.626,2.676,2.930,3.247
45B,45,B,2008,Zirco,30,-51.3,46.02,1945.9,,-,0.2,0.58,0.601,1.075,0.982,1.217,1.177,1.287,1.297,1.307,1.697,1.677,1.607,1.907,1.862,2.097,2.077,2.107,2.207,2.337,2.337,2.617,2.608,2.874,2.913
46A,46,A,2007,Zirco,17,71.09,66.7,1946.07,,0.33,0.51,0.77,0.794,1.202,1.126,1.381,1.421,1.691,1.721,1.761,2.071,2.081,2.021,2.221,2.23,2.461,2.501,2.481,2.611,2.701,2.691,2.881,2.894,3.071,3.173
46B,46,B,2007,Zirco,17,66.82,75.25,1946.05,,0.33,0.58,0.862,0.86,1.269,1.213,1.42,1.45,1.79,1.74,1.73,1.92,2.02,2.02,2.26,2.287,2.36,2.46,2.47,2.72,2.69,2.73,2.86,2.847,3.127,3.165
47A,47,A,2006,Zirco,13,172.4,114.49,1947.1,,0.15,0.53,-,1.425,1.621,1.546,1.691,1.731,1.731,1.791,1.781,1.791,1.811,1.811,2.401,2.33,2.321,2.301,2.281,2.371,2.361,2.381,2.531,2.52,2.863,2.812
47B,47,B,2006,Zirco,13,170,124.17,1947,,0.4,0.72,-,1.634,1.769,1.746,1.898,1.918,1.908,1.938,1.928,2.078,2.108,2.098,2.478,2.448,2.508,2.498,2.498,2.528,2.528,2.568,2.818,2.804,2.880,2.982
48A,48,A,2006,Zirco,9,365.29,151.25,1949.8,,0.2,0.57,1.07,1.061,1.398,1.398,1.626,1.617,1.766,1.736,1.736,2.046,2.096,2.086,2.216,2.288,2.486,2.566,2.556,2.586,2.676,2.736,3.396,3.376,3.490,3.401
48B,48,B,2006,Zirco,9,356.88,156.59,1949.82,,0.45,0.83,0.866,0.889,1.17,1.145,1.377,1.366,1.567,1.567,1.557,1.657,1.717,1.807,2.167,2.111,2.357,2.397,2.377,2.447,2.517,2.547,2.897,2.897,3.047,3.098
49A,49,A,2006,Zirco,8,495.5,137,1949.6,,0.5,0.65,0.897,0.942,1.115,1.064,1.304,1.444,1.544,1.834,1.534,1.794,1.784,1.764,1.924,1.984,2.084,2.254,2.254,2.264,2.334,2.374,2.574,2.579,2.783,2.922
49B,49,B,2006,Zirco,8,497.05,127.53,1949.59,,0.5,0.64,0.943,0.948,1.184,1.15,1.445,1.465,1.565,1.615,1.615,1.865,1.965,1.945,2.065,2.099,2.125,2.245,2.225,2.295,2.345,2.405,2.715,2.667,2.921,2.933
50A,50,A,2006,Zirco,7,604.34,147.29,1949.83,,0.4,0.64,0.862,0.898,1.218,1.12,1.343,1.323,1.433,1.523,1.513,1.613,1.623,1.653,1.933,1.993,2.053,2.053,2.083,2.113,2.143,2.193,2.473,2.469,2.622,2.673
50B,50,B,2006,Zirco,7,596.93,140.39,1949.86,,0.4,0.67,0.824,0.842,1.193,1.139,1.303,1.353,1.433,1.453,1.443,1.623,1.593,1.653,1.893,1.853,2.093,2.073,2.053,2.123,2.133,2.143,2.363,2.337,2.489,2.616
